countryName,totalVotes,demoVotes,repVotes
Alabama,1378476,815576,549506
Alaska,200116,119251,72584
Arizona,1171873,702541,454029
Arkansas,827738,466578,349237
California,9887065,5054917,4702233
Colorado,1372394,728177,621453
Connecticut,1443394,750241,676584
Delaware,249891,139639,108647
Dist. of Col.,192877,27590,159407
Florida,4302313,2618885,1656701
Georgia,1809672,1081331,714792
Hawaii,354461,158625,192364
Idaho,408968,253881,147272
Illinois,4559120,2310939,2215940
Indiana,2168621,1297763,860643
Iowa,1225614,545355,670557
Kansas,993044,554049,422636
Kentucky,1322517,734281,580368
Louisiana,1628202,883702,717460
Maine,555035,307131,243569
Maryland,1714358,876167,826304
Massachusetts,2632805,1194635,1401415
Michigan,3669163,1965486,1675783
Minnesota,2096790,962337,1109471
Mississippi,931527,557890,363921
Missouri,2093713,1084953,1001619
Montana,365674,190412,168936
Nebraska,661465,397956,259235
Nevada,350067,206040,132738
New Hampshire,451074,281537,163696
New Jersey,3099553,1743192,1320352
New Mexico,521287,270341,244497
New York,6485683,3081871,3347882
North Carolina,2134370,1237258,890167
North Dakota,297261,166559,127739
Ohio,4393699,2416549,1939629
Oklahoma,1171036,678367,483423
Oregon,1201694,560126,616206
Pennsylvania,4536251,2300087,2194944
Rhode Island,404620,177761,225123
South Carolina,986009,606443,370554
South Dakota,312991,165415,145560
Tennessee,1636250,947233,679794
Texas,5427410,3036829,2352748
Utah,647008,428442,207343
Vermont,243328,124331,115775
Virginia,2191609,1309162,859799
Washington,1865253,903835,933516
West Virginia*,653311,310065,341016
Wisconsin,2191608,1047499,1126794
Wyoming,176551,106867,67113
