countryName,totalVotes,demoVotes,repVotes
Alabama,1666272,941173,692611
Alaska,285560,167398,79004
Arizona,1532016,781652,685341
Arkansas,921781,472940,422768
California,10965856,4567429,5861203
Colorado,1741368,883748,738227
Connecticut,1459525,561094,816015
Delaware,327622,137288,180068
Dist. of Col.*,201894,18073,171923
Florida,5963110,2912790,2912253
Georgia,2596645,1419720,1116230
Hawaii,367951,137845,205286
Idaho,501621,336937,138637
Illinois,4742123,2019421,2589026
Indiana,2199302,1245836,901980
Iowa,1315563,634373,638517
Kansas,1072218,622332,399276
Kentucky,1544187,872492,638898
Louisiana,1765656,927871,792344
Maine,651817,286616,319951
Maryland,2020480,813797,1140782
Massachusetts,2702984,878502,1616487
Michigan,4232711,1953139,2170418
Minnesota,2438685,1109659,1168266
Mississippi,994184,572844,404614
Missouri,2359892,1189924,1111138
Montana,410997,240178,137126
Nebraska,697019,433862,231780
Nevada,608970,301575,279978
New Hampshire,569081,273559,266348
New Jersey,3187226,1284173,1788850
New Mexico,598605,286417,286783
New York,6821999,2403374,4107697
North Carolina,2911262,1631163,1257692
North Dakota,288256,174852,95284
Ohio,4701998,2350363,2183628
Oklahoma,1234229,744337,474276
Oregon,1533968,713577,720342
Pennsylvania,4913119,2281127,2485967
Rhode Island,409047,130555,249508
South Carolina,1382717,785937,565561
South Dakota,316269,190700,118804
Tennessee,2076181,1061949,981720
Texas,6407637,3799639,2433746
Utah,770754,515096,203053
Vermont,294308,119775,149022
Virginia,2739447,1437490,1217290
Washington,2487433,1108864,1247652
West Virginia,648124,336475,295497
Wisconsin,2598607,1237279,1242987
Wyoming,218351,147947,60481
