countryName,totalVotes,demoVotes,repVotes
Alabama,1341929,654192,636730
Alaska,158445,86112,41842
Arizona,873945,529688,246843
Arkansas,837582,403164,398041
California,8587063,4524858,3083661
Colorado,1184415,652264,367973
Connecticut,1406285,677210,541732
Delaware,235900,111252,105754
Dist. of Col.,175237,23545,131113
Florida,3686930,2046951,1419475
Georgia,1596695,654168,890733
Hawaii,303287,130112,135879
Idaho,437431,290699,110192
Illinois,4749721,2358049,1981413
Indiana,2242033,1255656,844197
Iowa,1317661,676026,508672
Kansas,979795,566812,326150
Kentucky,1294627,635274,616417
Louisiana,1548591,792853,708453
Maine,523011,238522,220974
Maryland,1540496,680606,726161
Massachusetts,2522890,1057631,1053802
Michigan,3909725,1915225,1661532
Minnesota,2051980,873268,954174
Mississippi,892620,441089,429281
Missouri,2099824,1074181,931182
Montana,363952,206814,118032
Nebraska,640854,419937,166851
Nevada,247885,155017,66666
New Hampshire,383990,221705,108864
New Jersey,2975684,1546557,1147364
New Mexico,456971,250779,167826
New York,6201959,2893831,2728372
North Carolina,1855833,915018,875635
North Dakota,301545,193695,79189
Ohio,4283603,2206545,1752414
Oklahoma,1149708,695570,402026
Oregon,1181516,571044,456890
Pennsylvania,4561501,2261872,1937540
Rhode Island,416072,154793,198342
South Carolina,894071,441841,430385
South Dakota,327703,198343,103855
Tennessee,1617616,787761,783051
Texas,4541636,2510705,1881147
Utah,604222,439687,124266
Vermont,213299,94628,81952
Virginia,1866032,989609,752174
Washington,1742394,865244,650193
West Virginia,737715,334206,367462
Wisconsin,2273221,1088845,981584
Wyoming,176713,110700,49427
