countryName,totalVotes,demoVotes,repVotes
Alabama,1182850,659170,504070
Alaska,123574,44058,71555
Arizona,742719,295602,418642
Arkansas,767535,498604,267903
California,7867117,3742284,3882244
Colorado,1081554,460353,584367
Connecticut,1381526,647895,719261
Delaware,235834,122596,109831
Dist. of Col.,168830,137818,27873
Florida,3150631,1636000,1469531
Georgia,1467458,979409,483743
Hawaii,291301,147375,140003
Idaho,344071,126549,204151
Illinois,4718914,2271295,2364269
Indiana,2220362,1014714,1183958
Iowa,1279306,619931,632863
Kansas,957845,430421,502752
Kentucky,1167142,615717,531852
Louisiana,1278439,661365,587446
Maine,483216,232279,236320
Maryland,1439897,759612,672661
Massachusetts,2547558,1429475,1030276
Michigan,3653749,1696714,1893742
Minnesota,1949931,1070440,819395
Mississippi,769361,381309,366846
Missouri,1953600,998387,927443
Montana,328734,149259,173703
Nebraska,607668,233692,359705
Nevada,201876,92479,101273
New Hampshire,339618,147635,185935
New Jersey,3014472,1444653,1509688
New Mexico,418409,201148,211419
New York,6534170,3389558,3100791
North Carolina,1678914,927365,741960
North Dakota,297188,136078,153470
Ohio,4111873,2011621,2000505
Oklahoma,1092251,532442,545708
Oregon,1029876,490407,492120
Pennsylvania,4620787,2328677,2205604
Rhode Island,411170,227636,181249
South Carolina,802583,450807,346149
South Dakota,300678,147068,151505
Tennessee,1476345,825879,633969
Texas,4071884,2082319,1953300
Utah,541198,182110,337908
Vermont,187765,80954,102085
Virginia,1697094,813896,836554
Washington*,1555534,717323,777732
West Virginia,750964,435914,314760
Wisconsin,2104175,1040232,1004987
Wyoming,156343,62239,92717
