countryName,totalVotes,demoVotes,repVotes
Alabama,1534349,662165,769044
Alaska,241620,80380,122746
Arizona,1404405,653288,622073
Arkansas,884262,475171,325416
California,10019484,5119835,3828380
Colorado,1510704,671152,691848
Connecticut,1392614,735740,483109
Delaware,270845,140355,99062
Dist. of Col.,185726,158220,17339
Florida,5303794,2546870,2244536
Georgia,2299071,1053849,1080843
Hawaii,360120,205012,113943
Idaho,491719,165443,256595
Illinois,4311391,2341744,1587021
Indiana,2135431,887424,1006693
Iowa,1234075,620258,492644
Kansas,1074300,387659,583245
Kentucky,1388708,636614,623283
Louisiana,1783959,927837,712586
Maine,605897,312788,186378
Maryland,1780870,966207,681530
Massachusetts,2556786,1571763,718107
Michigan,3848844,1989653,1481212
Minnesota,2192640,1120438,766476
Mississippi,893857,394022,439838
Missouri,2158065,1025935,890016
Montana,407261,167922,179652
Nebraska,677415,236761,363467
Nevada,464279,203974,199244
New Hampshire,499175,246214,196532
New Jersey,3075807,1652329,1103078
New Mexico,556074,273495,232751
New York,6316129,3756177,1933492
North Carolina,2515807,1107849,1225938
North Dakota,266411,106905,125050
Ohio,4534434,2148222,1859883
Oklahoma,1206713,488105,582315
Oregon,1377760,649641,538152
Pennsylvania,4506118,2215819,1801169
Rhode Island,390284,233050,104683
South Carolina,1151689,506283,573458
South Dakota,323826,139333,150543
Tennessee,1894105,909146,863530
Texas,5611644,2459683,2736167
Utah,665629,221633,361911
Vermont,258449,137894,80352
Virginia,2416642,1091060,1138350
Washington,2253837,1123323,840712
West Virginia,636459,327812,233946
Wisconsin,2196169,1071971,845029
Wyoming,211571,77934,105388
