countryName,totalVotes,demoVotes,repVotes
Alabama,1006111,728701,256923
Alaska,95219,55349,32967
Arizona,622926,402812,198540
Arkansas,651320,448541,199892
California,8367862,4602096,3475847
Colorado,953884,597189,329980
Connecticut,1384277,810763,555498
Delaware,235516,140357,92283
Dist. of Col.,163421,35226,127627
Florida,2583283,1857759,718117
Georgia,1174772,881496,289529
Hawaii,270274,168865,101409
Idaho,310379,199384,80826
Illinois,4723236,2788179,1913472
Indiana,2125529,1405154,708568
Iowa,1225944,706207,496206
Kansas,916095,619812,270287
Kentucky,1067499,676446,371159
Louisiana,1051491,686852,298142
Maine,417042,256458,160584
Maryland,1353812,829305,505781
Massachusetts,2458756,1112078,1332540
Michigan,3489727,1961721,1459435
Minnesota,1741652,898269,802346
Mississippi,645963,505125,126782
Missouri,1855803,1153852,697147
Montana,317603,183976,120197
Nebraska,576289,406298,169991
Nevada,181766,115750,66016
New Hampshire,334055,213724,116435
New Jersey,2997229,1845502,1102211
New Mexico,386241,235606,141084
New York,7165919,4192778,2951084
North Carolina,1518612,1054889,438705
North Dakota,280514,174109,100384
Ohio,4094787,2441827,1558889
Oklahoma,1029900,759025,247147
Oregon,927946,486686,392760
Pennsylvania,4592106,2714521,1796951
Rhode Island,415808,220383,194645
South Carolina,673960,477044,186824
South Dakota,307415,166476,139945
Tennessee,1201182,813147,357293
Texas,3471281,2298896,1154289
Utah,478476,323643,126284
Vermont,186947,117149,68174
Virginia*,1457019,988493,438887
Washington,1470847,837135,568334
West Virginia,762399,484964,277435
Wisconsin,1852890,989430,810174
Wyoming,145570,100464,44358
