countryName,totalVotes,demoVotes,repVotes
Alabama,1441713,872849,551899
Alaska,207605,138377,62007
Arizona,1025897,681416,333854
Arkansas,884406,534774,338646
California,9505423,5467009,3922519
Colorado,1295380,821817,454975
Connecticut,1466900,890877,569597
Delaware,254572,152190,101656
Dist. of Col.,211288,29009,180408
Florida,4180051,2730350,1448816
Georgia,1776120,1068722,706628
Hawaii,335846,185050,147154
Idaho,411144,297523,108510
Illinois,4819088,2707103,2086499
Indiana,2233069,1377230,841481
Iowa,1319805,703088,605620
Kansas,1021991,677296,333149
Kentucky,1369345,821702,539539
Louisiana,1706822,1037299,651586
Maine,553144,336500,214515
Maryland,1675873,879918,787935
Massachusetts,2559453,1310936,1239606
Michigan,3801658,2251571,1529638
Minnesota,2084449,1032603,1036364
Mississippi,941104,582377,352192
Missouri,2122783,1274188,848583
Montana,384377,232450,146742
Nebraska,652090,460054,187866
Nevada,286667,188770,91655
New Hampshire,389066,267051,120395
New Jersey,3217862,1933630,1261323
New Mexico,514370,307101,201769
New York,6806810,3664763,3119609
North Carolina,2175361,1346481,824287
North Dakota,308971,200336,104429
Ohio,4547619,2678560,1825440
Oklahoma,1255676,861530,385080
Oregon,1226527,685700,536479
Pennsylvania,4844903,2584323,2228131
Rhode Island,410492,212080,197106
South Carolina,968529,615539,344459
South Dakota,317867,200267,116113
Tennessee,1711994,990212,711714
Texas,5397571,3433428,1949276
Utah,629656,469105,155369
Vermont,234561,135865,95730
Virginia,2146635,1337078,796250
Washington,1883910,1051670,807352
West Virginia,735742,405483,328125
Wisconsin,2211689,1198584,995740
Wyoming,188968,133241,53370
