countryName,totalVotes,demoVotes,repVotes
Alabama,2123372,729547,1318255
Alaska,318608,116454,163387
Arizona,2573165,1161167,1252401
Arkansas,1130635,380494,684872
California,14181595,8753788,4483810
Colorado,2780220,1338870,1202484
Connecticut,1644920,897572,673215
Delaware,441590,235603,185127
Dist. of Col.,311268,282830,12723
Florida,9420039,4504975,4617886
Georgia,4092373,1877963,2089104
Hawaii,428937,266891,128847
Idaho,690255,189765,409055
Illinois,5536424,3090729,2146015
Indiana,2734958,1033126,1557286
Iowa,1566031,653669,800983
Kansas,1184402,427005,671018
Kentucky,1924149,628854,1202971
Louisiana,2029032,780154,1178638
Maine,747927,357735,335593
Maryland,2781446,1677928,943169
Massachusetts,3325046,1995196,1090893
Michigan,4799284,2268839,2279543
Minnesota,2944813,1367716,1322951
Mississippi,1209357,485131,700714
Missouri,2808605,1071068,1594511
Montana,494526,177709,279240
Nebraska,844227,284494,495961
Nevada,1125385,539260,512058
New Hampshire,744296,348526,345790
New Jersey,3874046,2148278,1601933
New Mexico,798318,385234,319666
New York,7622328,4491191,2790073
North Carolina,4741558,2189313,2362628
North Dakota,344360,93758,216794
Ohio,5496487,2394164,2841005
Oklahoma,1452992,420375,949136
Oregon,2001336,1002106,782403
Pennsylvania,6115402,2926441,2970733
Rhode Island,464144,252525,180543
South Carolina,2103027,855373,1155389
South Dakota,370047,117442,227701
Tennessee,2508027,870695,1522925
Texas,8969226,3877868,4685047
Utah,1131430,310676,515231
Vermont,315067,178573,95369
Virginia,3982752,1981473,1769443
Washington,3209214,1742718,1221747
West Virginia,713051,188794,489371
Wisconsin,2976150,1382536,1405284
Wyoming,255849,55973,174419
