countryName,totalVotes,demoVotes,repVotes
Alabama,1688060,690080,804283
Alaska,258506,78294,102000
Arizona,1486975,543050,572086
Arkansas,950653,505823,337324
California,11131721,5121325,3630574
Colorado,1569180,629681,562850
Connecticut,1616332,682318,578313
Delaware,289735,126054,102313
Dist. of Col.,227572,192619,20698
Florida,5314392,2072698,2173310
Georgia,2321125,1008966,995252
Hawaii,372842,179310,136822
Idaho,482142,137013,202645
Illinois,5050157,2453350,1734096
Indiana,2305871,848420,989375
Iowa,1354607,586353,504891
Kansas,1157335,390434,449951
Kentucky,1492900,665104,617178
Louisiana,1790017,815971,733386
Maine,679499,263420,206504
Maryland,1985046,988571,707094
Massachusetts,2773700,1318662,805049
Michigan,4274673,1871182,1554940
Minnesota,2347948,1020997,747841
Mississippi,981793,400258,487793
Missouri,2391565,1053873,811159
Montana,410611,154507,144207
Nebraska,737546,216864,343678
Nevada,506318,189148,175828
New Hampshire,537943,209040,202484
New Jersey,3343594,1436206,1356865
New Mexico,569986,261617,212824
New York,6926925,3444450,2346649
North Carolina,2611850,1114042,1134661
North Dakota,308133,99168,136244
Ohio,4939967,1984942,1894310
Oklahoma,1390359,473066,592929
Oregon,1462643,621314,475757
Pennsylvania,4959810,2239164,1791841
Rhode Island,453477,213299,131601
South Carolina,1202527,479514,577507
South Dakota,336254,124888,136718
Tennessee,1982638,933521,841300
Texas,6154018,2281815,2496071
Utah,743999,183429,322632
Vermont,289701,133592,88122
Virginia,2558665,1038650,1150517
Washington,2288230,993037,731234
West Virginia,683762,331001,241974
Wisconsin,2531114,1041066,930855
Wyoming,200598,68160,79347
